raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KMCE 181921Z AUTO 13005KT 3SM HZ FEW026 BKN050 OVC090 13/09 A2992 RMK AO2 RAB1858E15 P0001 T01280089,KMCE,2023-12-18T19:21:00Z,37.286,-120.518,12.8,8.9,130,5,,3,29.92,,,TRUE,TRUE,,,,,,HZ,FEW,2600,BKN,5000,OVC,9000,,,MVFR,,,,,,0.01,,,,,,SPECI,49
KDWA 181915Z AUTO 04003KT 6SM BR BKN007 BKN011 OVC032 10/10 A2991 RMK AO2,KDWA,2023-12-18T19:15:00Z,38.5803,-121.854,10,10,40,3,,6,29.91,,,TRUE,TRUE,,,,,,BR,BKN,700,BKN,1100,OVC,3200,,,IFR,,,,,,,,,,,,METAR,28
KAUN 181915Z AUTO 12009KT 10SM BKN030 OVC040 13/10 A2990 RMK A01,KAUN,2023-12-18T19:15:00Z,38.9553,-121.087,13,10,120,9,,10+,29.90,,,TRUE,TRUE,,,,,,,BKN,3000,OVC,4000,,,,,MVFR,,,,,,,,,,,,METAR,453
KJAQ 181915Z AUTO 14007G15KT 100V160 3SM 11/11 A2992 RMK AO1 T01130113,KJAQ,2023-12-18T19:15:00Z,38.3742,-120.794,11.3,11.3,140,7,15,3,29.92,,,TRUE,TRUE,,,,,,,,,,,,,,,MVFR,,,,,,,,,,,,METAR,518
KC83 181915Z AUTO 20003KT 3SM BR BKN006 BKN041 11/11 A2989 RMK AO2,KC83,2023-12-18T19:15:00Z,37.8276,-121.624,11,11,200,3,,3,29.89,,,TRUE,TRUE,,,,,,BR,BKN,600,BKN,4100,,,,,IFR,,,,,,,,,,,,METAR,16
KTCY 181915Z AUTO 10010KT 5SM BR OVC043 14/14 A2988 RMK A01,KTCY,2023-12-18T19:15:00Z,37.6919,-121.444,14,14,100,10,,5,29.88,,,TRUE,TRUE,,,,,,BR,OVC,4300,,,,,,,MVFR,,,,,,,,,,,,METAR,51
KMCC 181915Z AUTO 22004KT 10SM OVC039 12/10 A2990 RMK AO2,KMCC,2023-12-18T19:15:00Z,38.678,-121.403,12,10,220,4,,10+,29.90,,,TRUE,TRUE,,,,,,,OVC,3900,,,,,,,VFR,,,,,,,,,,,,METAR,21
KCPU 181915Z AUTO 00000KT 4SM BR SCT028 BKN038 OVC043 10/10 A2995 RMK AO2 T01000100,KCPU,2023-12-18T19:15:00Z,38.1445,-120.645,10,10,0,0,,4,29.95,,,TRUE,TRUE,,,,,,BR,SCT,2800,BKN,3800,OVC,4300,,,MVFR,,,,,,,,,,,,METAR,400
KHAF 181915Z AUTO 17013KT 1/2SM BR OVC007 16/16 A2983 RMK AO2,KHAF,2023-12-18T19:15:00Z,37.5136,-122.5,16,16,170,13,,0.5,29.83,,,TRUE,TRUE,,,,,,BR,OVC,700,,,,,,,LIFR,,,,,,,,,,,,METAR,11
KSFO 181915Z 00000KT 2 1/2SM -RA BR FEW004 BKN009 OVC021 13/11 A2984 RMK AO2 RAB08 P0001 T01280106,KSFO,2023-12-18T19:15:00Z,37.6196,-122.366,12.8,10.6,0,0,,2.5,29.84,,,,TRUE,,,,,,-RA BR,FEW,400,BKN,900,OVC,2100,,,IFR,,,,,,0.01,,,,,,SPECI,2
KMHR 181915Z AUTO 16005KT 10SM OVC041 13/11 A2989 RMK AO2,KMHR,2023-12-18T19:15:00Z,38.56,-121.284,13,11,160,5,,10+,29.89,,,TRUE,TRUE,,,,,,,OVC,4100,,,,,,,VFR,,,,,,,,,,,,METAR,30
KEDU 181915Z AUTO 06003KT 8SM SCT006 OVC032 10/10 A2991 RMK AO1,KEDU,2023-12-18T19:15:00Z,38.53,-121.788,10,10,60,3,,8,29.91,,,TRUE,TRUE,,,,,,,SCT,600,OVC,3200,,,,,VFR,,,,,,,,,,,,METAR,20
KLHM 181915Z AUTO 00000KT 10SM OVC046 12/12 A2989 RMK AO1,KLHM,2023-12-18T19:15:00Z,38.9148,-121.352,12,12,0,0,,10+,29.89,,,TRUE,TRUE,,,,,,,OVC,4600,,,,,,,VFR,,,,,,,,,,,,METAR,36
KDVO 181915Z AUTO 14004KT 1 1/4SM -DZ BKN004 OVC013 11/11 A2985 RMK AO2 VIS 1/2V2 1/2,KDVO,2023-12-18T19:15:00Z,38.1417,-122.555,11,11,140,4,,1.25,29.85,,,TRUE,TRUE,,,,,,-DZ,BKN,400,OVC,1300,,,,,LIFR,,,,,,,,,,,,METAR,1
KO69 181915Z AUTO VRB06G16KT 4SM BR BKN017 BKN026 OVC048 11/11 A2985 RMK A01,KO69,2023-12-18T19:15:00Z,38.2601,-122.607,11,11,VRB,6,16,4,29.85,,,TRUE,TRUE,,,,,,BR,BKN,1700,BKN,2600,OVC,4800,,,MVFR,,,,,,,,,,,,METAR,26
KO22 181915Z AUTO 00000KT 5SM BR BKN034 12/10 A2992 RMK A01,KO22,2023-12-18T19:15:00Z,38.03,-120.415,12,10,0,0,,5,29.92,,,TRUE,TRUE,,,,,,BR,BKN,3400,,,,,,,MVFR,,,,,,,,,,,,METAR,637
